date,OT,S_child,I_child,R_child,S_adult,I_adult,R_adult,S_total,I_total,R_total
1993-04-23,11.038081078582161,48714.46174253922,1.2213782459419351,1451284.3168792143,604616.3481266666,9.816702832640226,2895373.8351704953,653330.8098692058,11.038081078582161,4346658.152049709
1993-04-30,2.580340612159891,48714.0610352892,0.013214261085419968,1451285.925750448,604613.75938794,2.567126351074471,2895383.673485702,653327.8204232292,2.580340612159891,4346669.599236149
1993-05-07,0.6690111634534984,48714.02330568008,0.10220642665221313,1451285.9914686263,604612.6253877457,0.5668047368012853,2895386.8078075075,653326.6486934258,0.6690111634534984,4346672.799276134
1993-05-14,0.0,48713.92148404872,0.0,1451286.2198066479,604612.4911063059,0.0,2895387.5564766466,653326.4125903546,0.0,4346673.776283294
1993-05-21,0.0,48713.92148404872,0.0,1451286.2198066479,604612.4911063059,0.0,2895387.5564766466,653326.4125903546,0.0,4346673.776283294
1993-05-28,0.0,48713.92148404872,0.0,1451286.2198066479,604612.4911063059,0.0,2895387.5564766466,653326.4125903546,0.0,4346673.776283294
1993-06-04,0.0,48713.92148404872,0.0,1451286.2198066479,604612.4911063059,0.0,2895387.5564766466,653326.4125903546,0.0,4346673.776283294
1993-06-11,0.0,48713.92148404872,0.0,1451286.2198066479,604612.4911063059,0.0,2895387.5564766466,653326.4125903546,0.0,4346673.776283294
1993-06-18,0.0,48713.92148404872,0.0,1451286.2198066479,604612.4911063059,0.0,2895387.5564766466,653326.4125903546,0.0,4346673.776283294
1993-06-25,0.0,48713.92148404872,0.0,1451286.2198066479,604612.4911063059,0.0,2895387.5564766466,653326.4125903546,0.0,4346673.776283294
1993-07-02,0.0,48713.92148404872,0.0,1451286.2198066479,604612.4911063059,0.0,2895387.5564766466,653326.4125903546,0.0,4346673.776283294
1993-07-09,0.0,48713.92148404872,0.0,1451286.2198066479,604612.4911063059,0.0,2895387.5564766466,653326.4125903546,0.0,4346673.776283294
1993-07-16,0.0,48713.92148404872,0.0,1451286.2198066479,604612.4911063059,0.0,2895387.5564766466,653326.4125903546,0.0,4346673.776283294
1993-07-23,0.0,48713.92148404872,0.0,1451286.2198066479,604612.4911063059,0.0,2895387.5564766466,653326.4125903546,0.0,4346673.776283294
1993-07-30,0.0,48713.92148404872,0.0,1451286.2198066479,604612.4911063059,0.0,2895387.5564766466,653326.4125903546,0.0,4346673.776283294
1993-08-06,0.0,48713.92148404872,0.0,1451286.2198066479,604612.4911063059,0.0,2895387.5564766466,653326.4125903546,0.0,4346673.776283294
1993-08-13,0.0,48713.92148404872,0.0,1451286.2198066479,604612.4911063059,0.0,2895387.5564766466,653326.4125903546,0.0,4346673.776283294
1993-08-20,0.0,48713.92148404872,0.0,1451286.2198066479,604612.4911063059,0.0,2895387.5564766466,653326.4125903546,0.0,4346673.776283294
1993-08-27,0.0,48713.92148404872,0.0,1451286.2198066479,604612.4911063059,0.0,2895387.5564766466,653326.4125903546,0.0,4346673.776283294
1993-09-03,0.0,48713.92148404872,0.0,1451286.2198066479,604612.4911063059,0.0,2895387.5564766466,653326.4125903546,0.0,4346673.776283294
1993-09-10,0.0,48713.92148404872,0.0,1451286.2198066479,604612.4911063059,0.0,2895387.5564766466,653326.4125903546,0.0,4346673.776283294
1993-09-17,0.0,48713.92148404872,0.0,1451286.2198066479,604612.4911063059,0.0,2895387.5564766466,653326.4125903546,0.0,4346673.776283294
1993-09-24,0.0,48713.92148404872,0.0,1451286.2198066479,604612.4911063059,0.0,2895387.5564766466,653326.4125903546,0.0,4346673.776283294
1993-10-01,0.0,48713.92148404872,0.0,1451286.2198066479,604612.4911063059,0.0,2895387.5564766466,653326.4125903546,0.0,4346673.776283294
1993-10-08,0.0,48713.92148404872,0.0,1451286.2198066479,604612.4911063059,0.0,2895387.5564766466,653326.4125903546,0.0,4346673.776283294
1993-10-15,0.0,48713.92148404872,0.0,1451286.2198066479,604612.4911063059,0.0,2895387.5564766466,653326.4125903546,0.0,4346673.776283294
